mmsi,freq_mean_mhz,bandwidth_mean_khz,power_mean_watts,signal_strength_mean_dbm,snr_mean_db,noise_level_mean_dbm,is_suspicious,gross_tonnage,type,flag,pavillon_suppose
200698187,158.9,26.45,290.67,-74.37,35.67,-80.88,False,115766.0,Fishing Vessel,USA,Autre
201837657,159.265,22.07,164.72,-85.82,34.73,-99.95,False,217553.3,Fishing Vessel,Marshall Islands,Autre
202156040,156.78,31.73,186.73,-74.03,17.4,-84.73,True,60109.1,Passenger Ship,Malta,Autre
203295373,158.5225,37.95,80.12,-85.08,25.95,-92.15,True,127235.4,Bulk Carrier,Denmark,Autre
204111655,158.542,39.84,271.7,-59.24,22.52,-93.98,True,240035.0,Bulk Carrier,Bahamas,Autre
205804175,159.6467,27.27,181.88,-62.88,11.0,-78.75,False,149468.8,Fishing Vessel,Marshall Islands,Autre
205927097,161.74,35.8,225.4,-23.9,15.3,-70.3,False,37479.1,Fishing Vessel,France,Autre
206220320,157.28,47.3,263.2,-48.6,15.8,-88.7,False,140121.7,Fishing Vessel,Singapore,Autre
206352442,161.6967,23.8,323.77,-86.97,37.5,-95.1,True,232268.5,Bulk Carrier,USA,Autre
207068046,159.0212,28.81,203.95,-80.64,17.64,-93.71,False,263456.3,Bulk Carrier,France,Autre
207618219,158.31,29.98,334.5,-56.8,17.32,-86.3,True,191803.8,Fishing Vessel,USA,Autre
208204205,159.456,32.08,168.98,-67.36,22.84,-80.3,False,265115.6,General Cargo,Panama,Autre
208289492,158.141,34.08,274.15,-67.56,21.3,-85.82,False,130616.8,Bulk Carrier,USA,Autre
208492908,159.3325,27.15,257.98,-60.1,36.4,-100.35,False,3459.5,Fishing Vessel,Marshall Islands,Autre
208551916,157.3571,34.09,248.84,-87.61,24.13,-92.26,False,284556.8,Bulk Carrier,China,Autre
209428274,160.1178,31.5,296.57,-85.29,17.84,-90.22,True,158540.9,Passenger Ship,Singapore,Autre
209766902,157.5375,37.48,325.02,-81.6,27.88,-89.7,True,1945.8,Tanker,Singapore,Autre
210027019,157.7967,29.9,293.63,-35.27,8.27,-112.27,False,8758.9,General Cargo,USA,Autre
210044819,159.5733,28.17,330.13,-69.93,33.67,-81.93,True,200793.1,Container Ship,Malta,Autre
211239944,161.94,14.5,114.1,-109.0,38.5,-98.1,False,77200.6,Tanker,Singapore,Autre
211394760,159.1425,25.55,190.92,-60.28,24.35,-102.88,False,73999.2,Passenger Ship,Marshall Islands,Autre
211548097,158.86,28.66,287.64,-65.08,26.56,-101.22,False,60510.7,Passenger Ship,China,Autre
211617904,159.5912,26.2,251.26,-67.12,32.48,-77.34,True,62823.1,Passenger Ship,Bahamas,Autre
212186950,158.035,39.3,294.25,-67.13,35.28,-88.92,False,132563.1,Fishing Vessel,Denmark,Autre
213287515,160.19,17.67,242.63,-86.57,28.53,-91.67,True,286535.5,Passenger Ship,Panama,Autre
213704539,158.9675,41.62,244.48,-65.4,20.62,-71.62,False,63936.5,Container Ship,Malta,Autre
213740252,158.425,31.65,338.58,-38.12,27.12,-92.05,True,186747.7,Tanker,Panama,Autre
214748253,159.3829,28.64,195.69,-64.8,30.56,-91.63,True,204657.8,Container Ship,Denmark,Autre
216417532,159.9767,28.43,361.43,-96.03,32.37,-77.03,True,49400.2,Passenger Ship,China,Autre
218251125,158.2625,31.95,362.42,-46.55,33.1,-109.38,True,130966.8,Fishing Vessel,Malta,Autre
220627024,159.1275,35.5,401.92,-96.02,32.17,-84.45,False,153565.4,Fishing Vessel,Singapore,Denmark
221046878,157.74,23.42,320.12,-66.83,31.57,-100.72,True,247014.8,Fishing Vessel,Panama,Autre
221716335,161.2933,30.57,266.4,-70.47,30.43,-82.17,True,151848.2,General Cargo,France,Autre
222054856,157.3567,38.1,232.27,-62.32,39.1,-97.67,False,126848.8,Passenger Ship,USA,Autre
222807422,159.565,30.15,277.1,-73.8,22.55,-78.0,True,168745.7,Bulk Carrier,Panama,Autre
224255892,158.9625,33.78,339.95,-71.62,13.88,-109.25,False,101462.2,Bulk Carrier,France,Autre
224383026,159.1871,30.06,229.6,-61.87,20.0,-88.57,False,96347.1,General Cargo,USA,Autre
224472298,159.4543,31.76,331.8,-61.41,21.81,-102.39,True,42095.7,Bulk Carrier,France,Autre
