mmsi,freq_mean_mhz,freq_min_mhz,freq_max_mhz,freq_std_mhz,bandwidth_mean_khz,power_mean_watts,signal_strength_mean_dbm,snr_mean_db,noise_level_mean_dbm,num_signatures,cluster
200698187,158.9,157.06,161.56,1.6084,26.45,290.67,-74.37,35.67,-80.88,6,3
201837657,159.265,156.71,161.61,1.7578,22.07,164.72,-85.82,34.73,-99.95,6,1
202156040,156.78,156.39,157.17,0.39,31.73,186.73,-74.03,17.4,-84.73,3,4
203295373,158.5225,156.77,160.41,1.6334,37.95,80.12,-85.08,25.95,-92.15,4,2
204111655,158.542,156.28,160.71,1.896,39.84,271.7,-59.24,22.52,-93.98,5,0
205804175,159.6467,157.82,161.05,1.2232,27.27,181.88,-62.88,11.0,-78.75,6,1
205927097,161.74,161.74,161.74,,35.8,225.4,-23.9,15.3,-70.3,1,2
206220320,157.28,157.28,157.28,,47.3,263.2,-48.6,15.8,-88.7,1,0
206352442,161.6967,161.58,161.93,0.2021,23.8,323.77,-86.97,37.5,-95.1,3,3
207068046,159.0212,156.17,161.6,1.9041,28.81,203.95,-80.64,17.64,-93.71,8,1
207618219,158.31,157.45,159.66,0.9502,29.98,334.5,-56.8,17.32,-86.3,4,0
208204205,159.456,157.89,161.12,1.2221,32.08,168.98,-67.36,22.84,-80.3,5,1
208289492,158.141,156.11,160.55,1.5945,34.08,274.15,-67.56,21.3,-85.82,10,0
208492908,159.3325,157.11,160.45,1.5486,27.15,257.98,-60.1,36.4,-100.35,4,3
208551916,157.3571,156.06,159.7,1.2333,34.09,248.84,-87.61,24.13,-92.26,7,0
209428274,160.1178,157.79,161.95,1.3851,31.5,296.57,-85.29,17.84,-90.22,9,3
209766902,157.5375,156.07,159.67,1.3607,37.48,325.02,-81.6,27.88,-89.7,8,0
210027019,157.7967,156.42,160.26,2.1382,29.9,293.63,-35.27,8.27,-112.27,3,0
210044819,159.5733,158.56,161.59,1.7465,28.17,330.13,-69.93,33.67,-81.93,3,3
211239944,161.94,161.94,161.94,,14.5,114.1,-109.0,38.5,-98.1,1,1
211394760,159.1425,157.67,161.35,1.5663,25.55,190.92,-60.28,24.35,-102.88,4,1
211548097,158.86,156.9,161.35,1.7136,28.66,287.64,-65.08,26.56,-101.22,5,3
211617904,159.5912,156.08,161.79,1.91,26.2,251.26,-67.12,32.48,-77.34,8,3
212186950,158.035,156.23,159.83,1.4199,39.3,294.25,-67.13,35.28,-88.92,6,0
213287515,160.19,159.71,160.85,0.5909,17.67,242.63,-86.57,28.53,-91.67,3,3
213704539,158.9675,157.58,161.95,2.0198,41.62,244.48,-65.4,20.62,-71.62,4,2
213740252,158.425,157.54,160.51,1.4008,31.65,338.58,-38.12,27.12,-92.05,4,0
