iter	MultiClass
0	2.610353655
1	2.581072102
2	2.566190511
3	2.537544301
4	2.509027999
5	2.480644255
6	2.451350108
7	2.423967728
8	2.397615534
9	2.369981315
10	2.34241685
11	2.315421224
12	2.289848525
13	2.263095895
14	2.236764792
15	2.209873037
16	2.181038624
17	2.158325895
18	2.132764053
19	2.107240296
20	2.082337706
21	2.057255036
22	2.031380022
23	2.006803918
24	1.982258851
25	1.957489069
26	1.934718538
27	1.91174765
28	1.887731766
29	1.864338826
30	1.843278328
31	1.820738479
32	1.797306751
33	1.773995104
34	1.751579491
35	1.729524586
36	1.709113683
37	1.68691718
38	1.671559073
39	1.647583374
40	1.626047471
41	1.604501472
42	1.582120663
43	1.56207385
44	1.542004929
45	1.524321122
46	1.503900034
47	1.484309592
48	1.462680478
49	1.442813229
50	1.423941986
51	1.407094465
52	1.388868436
53	1.370412941
54	1.352197051
55	1.332121491
56	1.314248687
57	1.296958371
58	1.281454886
59	1.264615435
60	1.244630642
61	1.229159733
62	1.213261463
63	1.198645803
64	1.183309555
65	1.165767813
66	1.148933705
67	1.13499921
68	1.120235307
69	1.102803139
70	1.086623991
71	1.071486961
72	1.0624606
73	1.049590091
74	1.034776822
75	1.019111866
76	1.009813198
77	0.995951712
78	0.9847655331
79	0.9717501615
80	0.9648803581
81	0.9531949426
82	0.9398751975
83	0.9286672401
84	0.9162103107
85	0.9050766167
86	0.8939446414
87	0.882059311
88	0.8712437614
89	0.8593953282
90	0.8490437578
91	0.8387257928
92	0.8285764066
93	0.8215317517
94	0.8111415056
95	0.7998005633
96	0.7905950639
97	0.7818532527
98	0.7715812506
99	0.7623899277
100	0.7527283118
101	0.7429299363
102	0.7338978473
103	0.7274021359
104	0.72105878
105	0.7148413551
106	0.7058088079
107	0.6983717198
108	0.6892273233
109	0.6807782691
110	0.673088537
111	0.6681773887
112	0.6612592577
113	0.6573736337
114	0.649733842
115	0.6415186717
116	0.6355706942
117	0.6281466118
118	0.6232079231
119	0.6161927121
120	0.6088563611
121	0.6032610463
122	0.5970193684
123	0.5903364781
124	0.5838530546
125	0.5771543648
126	0.571254972
127	0.5650961923
128	0.5610899379
129	0.5566230604
130	0.5512038554
131	0.5456386933
132	0.5404798189
133	0.5339379038
134	0.5311232092
135	0.5256955559
136	0.5197400042
137	0.5144183486
138	0.5087513329
139	0.5037132993
140	0.4984285592
141	0.4935502625
142	0.4885067459
143	0.4845950691
144	0.4806538089
145	0.4777245963
146	0.4724856349
147	0.4675025294
148	0.4631238033
149	0.459609162
150	0.4568159128
151	0.4520223249
152	0.4474839021
153	0.4426818311
154	0.4384504698
155	0.4346265388
156	0.4302621658
157	0.427111684
158	0.4228932902
159	0.4186141283
160	0.4146215317
