iter	Passed	Remaining
0	128	63959
1	129	32307
2	130	21542
3	131	16321
4	133	13176
5	135	11117
6	136	9604
7	137	8483
8	138	7579
9	140	6907
10	142	6350
11	144	5867
12	145	5466
13	147	5107
14	148	4802
15	150	4551
16	152	4327
17	153	4105
18	154	3923
19	156	3758
20	158	3610
21	159	3468
22	160	3336
23	162	3213
24	163	3109
25	165	3012
26	166	2916
27	167	2825
28	169	2749
29	171	2683
30	172	2607
31	173	2540
32	175	2478
33	176	2424
34	178	2370
35	180	2320
36	181	2272
37	183	2229
38	183	2173
39	185	2133
40	187	2093
41	188	2051
42	189	2009
43	190	1975
44	194	1970
45	195	1933
46	198	1912
47	200	1889
48	203	1870
49	205	1846
50	207	1826
51	209	1804
52	211	1785
53	213	1765
54	215	1744
55	217	1727
56	220	1716
57	223	1700
58	225	1686
59	227	1668
60	229	1649
61	231	1633
62	233	1618
63	235	1603
64	237	1591
65	239	1576
66	241	1560
67	242	1541
68	244	1525
69	246	1511
70	248	1502
71	251	1496
72	252	1478
73	254	1463
74	256	1453
75	258	1441
76	259	1423
77	261	1412
78	263	1403
79	265	1394
80	267	1384
81	269	1375
82	271	1365
83	274	1357
84	275	1347
85	278	1339
86	281	1335
87	283	1326
88	284	1314
89	286	1304
90	288	1294
91	289	1285
92	291	1277
93	292	1263
94	296	1262
95	299	1261
96	301	1252
97	303	1244
98	306	1239
99	308	1234
100	312	1233
101	314	1228
102	317	1221
103	318	1213
104	319	1201
105	321	1194
106	325	1194
107	328	1192
108	330	1185
109	332	1180
110	335	1177
111	337	1169
112	340	1165
113	342	1158
114	344	1153
115	347	1149
116	350	1146
117	352	1141
118	353	1131
119	356	1129
120	358	1123
121	360	1118
122	361	1109
123	364	1105
124	367	1101
125	369	1097
126	371	1091
127	376	1094
128	378	1087
129	380	1083
130	383	1080
131	384	1071
132	386	1066
133	390	1067
134	392	1061
135	396	1060
136	399	1058
137	401	1052
138	403	1048
139	405	1043
140	410	1044
141	412	1040
142	415	1036
143	418	1033
144	420	1029
145	422	1024
146	424	1019
147	426	1014
148	428	1008
149	429	1001
150	431	996
151	434	993
152	435	988
153	438	985
154	442	984
155	444	979
156	445	974
157	447	968
158	449	964
159	451	959
160	453	954
161	455	949
162	456	944
163	458	939
164	461	936
165	462	931
166	465	928
167	466	922
168	471	922
169	475	923
170	478	921
171	481	918
172	484	916
173	486	911
174	489	908
175	491	903
176	493	901
177	495	897
178	498	893
179	501	891
180	507	893
181	507	887
182	509	883
183	512	879
184	516	879
185	519	877
186	522	873
187	524	870
188	526	867
189	529	864
190	532	862
191	535	859
192	538	855
193	541	853
194	543	849
195	545	845
196	547	841
197	549	837
198	553	836
199	555	833
200	562	836
201	566	835
202	568	831
203	570	827
204	573	825
205	575	821
206	578	818
207	580	815
208	583	811
209	586	809
210	588	805
211	589	801
212	591	797
213	593	792
214	594	788
215	596	784
216	597	779
217	600	776
